Zip Code,Population,Poulation Below Poverty Line,Population Below Poverty Line past 12 months,Poverty Percentage
02118,27325.0,5064.0,809.0,0.18532479414455627
02121,28479.0,6616.0,2207.0,0.23231152779240843
02126,29141.0,6990.0,1272.0,0.23986822689681206
02127,37257.0,6830.0,1282.0,0.18332125506616206
02129,18901.0,4151.0,885.0,0.21961800962912015
02163,2569.0,84.0,13.0,0.0326975476839237
02180,21967.0,5767.0,166.0,0.2625301588746756
02025,8393.0,2300.0,57.0,0.2740378887167878
02114,13247.0,1896.0,117.0,0.14312674567826678
02119,28152.0,6133.0,1510.0,0.21785308326229041
02130,39435.0,7763.0,780.0,0.19685558514010396
01730,14031.0,3761.0,57.0,0.26804931936426485
01835,13047.0,3471.0,238.0,0.2660381696941826
01904,17320.0,4411.0,170.0,0.25467667436489605
01908,3488.0,887.0,30.0,0.2543004587155963
01945,20393.0,5748.0,145.0,0.2818614230373167
01950,17890.0,4439.0,202.0,0.2481274455002795
01952,9035.0,2202.0,136.0,0.24371887105700055
01984,5179.0,996.0,4.0,0.1923151187487932
01518,3490.0,987.0,0.0,0.2828080229226361
01520,15061.0,4042.0,74.0,0.26837527388619614
01522,3497.0,1029.0,51.0,0.2942522161853017
01527,13521.0,3565.0,155.0,0.2636639301826788
01536,7709.0,1869.0,68.0,0.24244389674406538
01540,11386.0,2765.0,210.0,0.24284208677323027
01543,8463.0,2303.0,25.0,0.272125723738627
01545,36269.0,9707.0,276.0,0.26763903057707683
01569,13864.0,3550.0,202.0,0.2560588574725909
01604,36772.0,8106.0,1345.0,0.22043946481018167
01752,39771.0,10018.0,484.0,0.2518920821704257
01801,40375.0,10097.0,468.0,0.25008049535603716
01826,30948.0,7984.0,325.0,0.25798112963681014
01907,14758.0,3830.0,165.0,0.2595202601978588
01949,9656.0,2058.0,55.0,0.2131317315658658
01951,4152.0,1309.0,31.0,0.31526974951830444
01840,5248.0,1191.0,310.0,0.2269435975609756
01841,48295.0,11029.0,2670.0,0.22836732581012528
01851,29849.0,7003.0,1183.0,0.23461422493215853
01867,24894.0,6713.0,141.0,0.26966337270024904
01938,13810.0,3789.0,173.0,0.27436640115858074
01982,7991.0,2214.0,182.0,0.277061694406207
01720,22680.0,6346.0,89.0,0.27980599647266313
01742,19383.0,4987.0,183.0,0.2572873136253418
01747,5955.0,1498.0,37.0,0.2515533165407221
01756,5995.0,1663.0,0.0,0.2773978315262719
01834,6697.0,1718.0,38.0,0.25653277586979245
01062,10587.0,2791.0,259.0,0.26362520071786155
01068,1849.0,523.0,12.0,0.2828555976203353
01071,1206.0,359.0,7.0,0.29767827529021557
01072,1490.0,398.0,28.0,0.26711409395973157
01073,6090.0,1728.0,62.0,0.28374384236453204
01075,17755.0,4142.0,204.0,0.2332863981976908
01096,2607.0,700.0,32.0,0.2685078634445723
01223,2351.0,708.0,30.0,0.3011484474691621
01264,205.0,46.0,0.0,0.22439024390243903
01342,1759.0,410.0,0.0,0.23308698123934055
01240,4493.0,1082.0,12.0,0.24081905185844646
01242,475.0,127.0,0.0,0.2673684210526316
01256,764.0,230.0,14.0,0.3010471204188482
01267,7853.0,1479.0,104.0,0.18833566789761874
01344,1518.0,415.0,26.0,0.2733860342555995
01349,1231.0,306.0,29.0,0.24857839155158407
01355,917.0,260.0,5.0,0.2835332606324973
01360,3012.0,802.0,11.0,0.26626826029216466
01420,40666.0,9497.0,1329.0,0.23353661535435008
01431,3195.0,878.0,48.0,0.27480438184663536
01451,4630.0,1282.0,35.0,0.27688984881209505
01467,511.0,116.0,0.0,0.22700587084148727
01473,7566.0,2092.0,8.0,0.2765001321702353
01506,3406.0,876.0,42.0,0.2571931884908984
02538,3571.0,969.0,83.0,0.2713525623074769
02630,2277.0,629.0,18.0,0.27624066754501536
02639,2949.0,766.0,58.0,0.25974906748050186
02670,1158.0,314.0,16.0,0.2711571675302245
02723,14236.0,3442.0,687.0,0.24178139926945771
02725,2453.0,621.0,29.0,0.2531593966571545
02019,16929.0,4450.0,116.0,0.26286254356429795
02052,12610.0,3522.0,81.0,0.27930214115781127
02061,10897.0,3043.0,48.0,0.2792511700468019
02066,18042.0,4971.0,113.0,0.2755237778516794
02071,1572.0,286.0,17.0,0.18193384223918574
02116,23215.0,4470.0,223.0,0.19254792160241224
02124,55074.0,12258.0,2551.0,0.22257326506155353
02132,28505.0,7183.0,282.0,0.25199087879319415
02143,26773.0,4084.0,317.0,0.15254173981249766
02150,39263.0,7990.0,1329.0,0.20349947787993786
02155,59779.0,12698.0,738.0,0.2124157312768698
02169,56541.0,13363.0,1173.0,0.23634176968925205
02189,15146.0,3932.0,398.0,0.2596064967648224
02191,8028.0,2150.0,65.0,0.2678126557050324
02199,1177.0,322.0,36.0,0.2735768903993203
02043,23047.0,6233.0,214.0,0.27044734672625503
02048,23678.0,6325.0,66.0,0.2671256018244784
02050,26032.0,7055.0,347.0,0.2710125998770744
02324,27434.0,5680.0,327.0,0.20704235620033534
02476,16964.0,4225.0,178.0,0.24905682622023106
02493,12027.0,2985.0,131.0,0.24819156896981792
02575,2417.0,679.0,0.0,0.28092676872155564
02576,4873.0,1133.0,48.0,0.2325056433408578
02655,3257.0,976.0,18.0,0.29966226588885475
02657,2952.0,676.0,35.0,0.22899728997289973
02673,8397.0,2354.0,78.0,0.28033821602953435
02675,6314.0,1766.0,71.0,0.2796959138422553
02702,4472.0,1243.0,61.0,0.2779516994633274
02769,11990.0,3159.0,74.0,0.2634695579649708
02718,6295.0,1715.0,109.0,0.27243844320889593
02719,16027.0,3830.0,280.0,0.2389717351968553
02724,17391.0,4551.0,876.0,0.26168707952389164
02739,6245.0,1742.0,53.0,0.2789431545236189
02740,43686.0,10409.0,2007.0,0.23826855285446139
02762,9000.0,2313.0,78.0,0.257
02767,14018.0,3728.0,165.0,0.26594378656013695
02779,6630.0,1730.0,32.0,0.2609351432880845
02026,25362.0,6187.0,138.0,0.2439476381988802
02032,4410.0,1279.0,42.0,0.29002267573696144
02053,13162.0,3542.0,114.0,0.2691080382920529
02090,15612.0,4238.0,59.0,0.2714578529336408
02093,11597.0,2850.0,49.0,0.24575321203759593
02062,29121.0,7242.0,479.0,0.2486865148861646
02072,28338.0,7395.0,502.0,0.2609570188439551
02110,2270.0,450.0,13.0,0.19823788546255505
02113,7464.0,897.0,19.0,0.12017684887459808
02122,24643.0,5134.0,774.0,0.20833502414478758
02125,35254.0,6732.0,1346.0,0.19095705451863618
02128,46655.0,9634.0,1681.0,0.2064944807630479
02139,36979.0,5748.0,405.0,0.15543957381216367
02140,19737.0,4385.0,447.0,0.22217155596088564
02148,61375.0,14449.0,1840.0,0.2354215885947047
02152,18391.0,4515.0,233.0,0.24550051655701158
02190,17415.0,4450.0,131.0,0.2555268446741315
02302,33841.0,8202.0,727.0,0.24236872432847728
02038,32843.0,8394.0,213.0,0.2555795755564352
02045,10402.0,2644.0,66.0,0.2541818880984426
02054,8144.0,2278.0,31.0,0.27971512770137524
02067,18148.0,5197.0,62.0,0.2863676438175006
02108,4211.0,788.0,0.0,0.18712894799335075
02120,15719.0,2244.0,644.0,0.14275717284814557
02135,42644.0,6260.0,774.0,0.14679673576587562
02301,61320.0,13818.0,2332.0,0.22534246575342465
02330,11617.0,3028.0,72.0,0.2606524920375312
02370,17849.0,4378.0,203.0,0.2452798476105104
02421,18760.0,5165.0,186.0,0.27531982942430705
02461,7214.0,2124.0,25.0,0.29442750207929025
02467,22105.0,3897.0,118.0,0.17629495589233204
02115,29244.0,2391.0,553.0,0.08176036109971276
02030,5922.0,1756.0,0.0,0.29652144545761566
02081,19358.0,5183.0,87.0,0.2677446017150532
02109,4051.0,613.0,0.0,0.15132066156504567
02149,44993.0,10816.0,1398.0,0.2403929500144467
02151,53873.0,12254.0,1147.0,0.22746088021829117
02170,19434.0,4161.0,136.0,0.2141092929916641
02141,13664.0,2396.0,271.0,0.1753512880562061
02144,24682.0,3977.0,286.0,0.1611295681063123
02359,18230.0,4816.0,130.0,0.2641799232035107
02646,1806.0,458.0,21.0,0.25359911406423036
02647,121.0,41.0,0.0,0.33884297520661155
02649,14054.0,4019.0,163.0,0.28596840757079833
02744,11184.0,2637.0,641.0,0.2357832618025751
02746,15637.0,3753.0,1219.0,0.24000767410628637
02748,11316.0,3103.0,159.0,0.27421350300459524
02760,27100.0,6838.0,409.0,0.2523247232472325
02766,19515.0,4932.0,129.0,0.25272867025365103
02770,5199.0,1543.0,53.0,0.2967878438161185
02184,37082.0,9065.0,355.0,0.24445822771155817
02186,27527.0,6931.0,211.0,0.2517891524684855
02188,15301.0,3864.0,113.0,0.2525325142147572
02420,14579.0,4089.0,60.0,0.2804719116537485
02465,12112.0,3206.0,73.0,0.26469616908850724
02466,8568.0,1943.0,43.0,0.22677404295051354
02472,34715.0,8223.0,507.0,0.2368716693072159
02534,815.0,175.0,0.0,0.2147239263803681
01007,14906.0,4165.0,111.0,0.27941768415403195
01020,30148.0,7933.0,656.0,0.2631351996815709
01030,11211.0,3184.0,233.0,0.284006779056284
01034,2313.0,684.0,27.0,0.29571984435797666
01035,5301.0,1422.0,33.0,0.26825127334465193
01053,1658.0,293.0,38.0,0.1767189384800965
01057,8801.0,2372.0,82.0,0.2695148278604704
01364,7819.0,2006.0,123.0,0.2565545466172145
01379,836.0,222.0,38.0,0.26555023923444976
01440,20496.0,5155.0,700.0,0.25151249024199845
01505,4524.0,1195.0,23.0,0.2641467727674624
01524,6702.0,1735.0,82.0,0.2588779468815279
01529,3237.0,845.0,34.0,0.26104417670682734
01583,7639.0,1417.0,55.0,0.18549548370205524
01588,9864.0,2401.0,173.0,0.24341038118410382
01609,20714.0,3398.0,498.0,0.1640436419812687
01721,17478.0,4833.0,98.0,0.276519052523172
